fuente_suministro,date,sku,LT_meses,ingreso_usd_sin_recomendacion,ingreso_usd_con_recomendacion,tc
ito koyama - resortes,2024-10-01,v002,6.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,hy044,6.0,407.56038183560906,827.1078337252065,3.746999808933834
ito koyama - resortes,2024-07-01,hy044,6.0,593.8640019306082,741.3335863026384,3.756425045317437
ito koyama - resortes,2024-08-01,hy044,6.0,681.9974150951111,553.9148568349269,3.732000149037844
ito koyama - resortes,2024-09-01,hy044,6.0,567.3879825554557,497.811492187821,3.746999808933834
ito koyama - resortes,2024-10-01,hy044,6.0,,,3.715999990254402
narva,2024-06-01,18038,4.0,1047.5875052359881,996.8666920372657,3.746999808933834
narva,2024-07-01,18038,4.0,1156.6841828872077,985.9855827204636,3.756425045317437
narva,2024-08-01,18038,4.0,1499.4184901717217,1911.758574968945,3.732000149037844
narva,2024-09-01,18038,4.0,1449.4921456095437,1772.3335780407601,3.746999808933834
narva,2024-10-01,18038,4.0,,,3.715999990254402
mann - brasil,2024-06-01,c-281012,4.0,1589.0761492933252,1216.9798074431296,3.746999808933834
mann - brasil,2024-07-01,c-281012,4.0,807.4981710489902,807.4981710489902,3.756425045317437
mann - brasil,2024-08-01,c-281012,4.0,105.3607619213566,105.3607619213566,3.732000149037844
mann - brasil,2024-09-01,c-281012,4.0,899.4770656377314,899.4770656377314,3.746999808933834
mann - brasil,2024-10-01,c-281012,4.0,,,3.715999990254402
prextoline - lubricantes,2024-06-01,paw68a5500,2.0,2522.207131161639,3351.564454147229,3.746999808933834
prextoline - lubricantes,2024-07-01,paw68a5500,2.0,1997.9036479272038,1997.9036479272038,3.756425045317437
prextoline - lubricantes,2024-08-01,paw68a5500,2.0,2502.552102438944,2681.3058240417254,3.732000149037844
prextoline - lubricantes,2024-09-01,paw68a5500,2.0,2002.9291923930668,2002.9291923930668,3.746999808933834
prextoline - lubricantes,2024-10-01,paw68a5500,2.0,,,3.715999990254402
ito koyama - resortes,2024-06-01,t002,6.0,336.51033488054316,336.51033488054316,3.746999808933834
ito koyama - resortes,2024-07-01,t002,6.0,287.71371228688366,287.71371228688366,3.756425045317437
ito koyama - resortes,2024-08-01,t002,6.0,257.4193048838477,257.4193048838477,3.732000149037844
ito koyama - resortes,2024-09-01,t002,6.0,264.40097740614107,264.40097740614107,3.746999808933834
ito koyama - resortes,2024-10-01,t002,6.0,,,3.715999990254402
ito koyama - amortiguadores,2024-06-01,54650-24120,6.0,185.81529901615588,185.81529901615588,3.746999808933834
ito koyama - amortiguadores,2024-07-01,54650-24120,6.0,203.8839773620056,203.8839773620056,3.756425045317437
ito koyama - amortiguadores,2024-08-01,54650-24120,6.0,309.69313266223617,309.69313266223617,3.732000149037844
ito koyama - amortiguadores,2024-09-01,54650-24120,6.0,327.03492626843433,353.0490681306962,3.746999808933834
ito koyama - amortiguadores,2024-10-01,54650-24120,6.0,,,3.715999990254402
sakura filter,2024-06-01,ef-10080,6.0,1182.726531197403,1159.7262353903172,3.746999808933834
sakura filter,2024-07-01,ef-10080,6.0,933.2834926584757,933.2834926584757,3.756425045317437
sakura filter,2024-08-01,ef-10080,6.0,979.8104970635354,935.5131175801117,3.732000149037844
sakura filter,2024-09-01,ef-10080,6.0,975.8882059058384,975.8882059058384,3.746999808933834
sakura filter,2024-10-01,ef-10080,6.0,,,3.715999990254402
sakura filter,2024-06-01,eo-28090,6.0,3032.2748820449383,3032.2748820449383,3.746999808933834
sakura filter,2024-07-01,eo-28090,6.0,2682.0814192773278,2682.0814192773278,3.756425045317437
sakura filter,2024-08-01,eo-28090,6.0,2978.2190633573196,2978.2190633573196,3.732000149037844
sakura filter,2024-09-01,eo-28090,6.0,3031.371074330469,3228.1948653257346,3.746999808933834
sakura filter,2024-10-01,eo-28090,6.0,,,3.715999990254402
sakura filter,2024-06-01,a-5549-s,6.0,1959.1192624165465,1959.1192624165465,3.746999808933834
sakura filter,2024-07-01,a-5549-s,6.0,1796.96886559346,1796.96886559346,3.756425045317437
sakura filter,2024-08-01,a-5549-s,6.0,1733.365793636579,2072.5025793480836,3.732000149037844
sakura filter,2024-09-01,a-5549-s,6.0,1884.0572217109313,2251.861221168444,3.746999808933834
sakura filter,2024-10-01,a-5549-s,6.0,,,3.715999990254402
narva,2024-06-01,98015,4.0,2711.6379409075566,3559.024797441168,3.746999808933834
narva,2024-07-01,98015,4.0,3484.058866856816,3484.058866856816,3.756425045317437
narva,2024-08-01,98015,4.0,3131.980534473039,3131.980534473039,3.732000149037844
narva,2024-09-01,98015,4.0,2558.0490731608397,2558.0490731608397,3.746999808933834
narva,2024-10-01,98015,4.0,,,3.715999990254402
ito koyama - palieres,2024-06-01,to-007,6.0,265.28523888152824,265.28523888152824,3.746999808933834
ito koyama - palieres,2024-07-01,to-007,6.0,344.95056612975685,344.95056612975685,3.756425045317437
ito koyama - palieres,2024-08-01,to-007,6.0,309.1579605002308,309.1579605002308,3.732000149037844
ito koyama - palieres,2024-09-01,to-007,6.0,251.07352965573207,251.07352965573207,3.746999808933834
ito koyama - palieres,2024-10-01,to-007,6.0,,,3.715999990254402
denso - bujias - japon,2024-06-01,k16r-u11,3.0,2070.463835874363,2070.463835874363,3.746999808933834
denso - bujias - japon,2024-07-01,k16r-u11,3.0,1358.4929423581864,1358.4929423581864,3.756425045317437
denso - bujias - japon,2024-08-01,k16r-u11,3.0,1256.5455013272897,1256.5455013272897,3.732000149037844
denso - bujias - japon,2024-09-01,k16r-u11,3.0,1121.9706096468256,1121.9706096468256,3.746999808933834
denso - bujias - japon,2024-10-01,k16r-u11,3.0,,,3.715999990254402
aisin - japon,2024-06-01,dt-064,6.0,453.0395436448607,453.0395436448607,3.746999808933834
aisin - japon,2024-07-01,dt-064,6.0,373.98854341694084,373.98854341694084,3.756425045317437
aisin - japon,2024-08-01,dt-064,6.0,376.4361937432866,376.4361937432866,3.732000149037844
aisin - japon,2024-09-01,dt-064,6.0,367.1182508846285,367.1182508846285,3.746999808933834
aisin - japon,2024-10-01,dt-064,6.0,,,3.715999990254402
ito koyama - amortiguadores,2024-06-01,485310r010,6.0,262.3164186931311,262.3164186931311,3.746999808933834
ito koyama - amortiguadores,2024-07-01,485310r010,6.0,261.6582412441854,261.6582412441854,3.756425045317437
ito koyama - amortiguadores,2024-08-01,485310r010,6.0,286.8393993129482,442.2657667102164,3.732000149037844
ito koyama - amortiguadores,2024-09-01,485310r010,6.0,358.4125324718029,405.1619932289946,3.746999808933834
ito koyama - amortiguadores,2024-10-01,485310r010,6.0,,,3.715999990254402
narva,2024-06-01,48728,4.0,16866.252787711415,16866.252787711415,3.746999808933834
narva,2024-07-01,48728,4.0,18373.61778002654,18373.61778002654,3.756425045317437
narva,2024-08-01,48728,4.0,20389.29327153003,24418.371902986863,3.732000149037844
narva,2024-09-01,48728,4.0,20775.630422645696,20775.630422645696,3.746999808933834
narva,2024-10-01,48728,4.0,,,3.715999990254402
sakura filter,2024-06-01,a-5558-s,6.0,2237.524454183202,2280.7616417036497,3.746999808933834
